Story_Title,Question,User_Answer,Correct_Answer,Is_Correct,Date
a cosa servono i denti?,Che animale è protagonista della storia?,un serpente,un serpente,True,2025-07-30 16:15:13
a cosa servono i denti?,Come si comporta il serpente a scuola?,timido e dolce,triste e scontroso,False,2025-07-30 16:15:33
a cosa servono i denti?,Perché nessuno gli parla più?,perché morde,perché morde,True,2025-07-30 16:16:17
a cosa servono i denti?,Chi portano i genitori per aiutare il serpente?,dal dottore,dal dottore,True,2025-07-30 16:16:27
a cosa servono i denti?,Cosa consiglia il dottore?,ballare,bere brodo di ortica e aglio,False,2025-07-30 16:16:40
a cosa servono i denti?,Da chi vanno dopo il dottore?,dal fachiro,dal fachiro,True,2025-07-30 16:16:50
a cosa servono i denti?,Come reagisce il serpente alla musica?,ballando,ballando,True,2025-07-30 16:16:59
a cosa servono i denti?,Che cosa fa alla fine il serpente?,inizia a ridere,inizia a ridere,True,2025-07-30 16:17:08
a cosa servono i denti?,Cosa gli insegna il fachiro?,che i denti servono anche per sorridere,che i denti servono anche per sorridere,True,2025-07-30 16:17:24
a cosa servono i denti?,Cosa consiglia il dottore?,bere brodo di ortica e aglio,bere brodo di ortica e aglio,True,2025-07-30 16:21:06
a cosa servono i denti?,Qual è il messaggio della storia?,sorridere è importante,sorridere è importante,True,2025-07-30 16:21:18
burrasca!,Dopo quanti giorni di navigazione gettano l'ancora?,sei giorni e poi ancora per l’ottavo giorno,sei giorni,False,2025-09-03 15:58:06
burrasca!,Perché restano fermi nella rada?,a causa del vento,a causa del vento,True,2025-09-03 15:58:44
burrasca!,Cosa ordina il capitano quando il mare si agita?,di gettare l’ancora di salvezza,di gettare l’ancora di salvezza,True,2025-09-03 15:59:04
burrasca!,Come viene descritta la burrasca?,spaventosa,spaventosa,True,2025-09-03 15:59:20
burrasca!,Cosa fanno alcune navi vicine?,proseguono il viaggio,mozzano gli alberi,False,2025-09-03 15:59:31
burrasca!,Cosa succede a una nave distante un miglio?,cola a picco,cola a picco,True,2025-09-03 15:59:53
burrasca!,Qual è la sensazione del narratore?,terrore,terrore,True,2025-09-03 16:00:58
burrasca!,Cosa fanno gli uomini dell’equipaggio?,ammainano le vele,ammainano le vele,True,2025-09-03 16:01:08
burrasca!,Come reagisce la nave alla burrasca?,imbarca acqua,imbarca acqua,True,2025-09-03 16:01:19
burrasca!,Come termina il racconto?,con il ritorno a casa dei marinai,con la promessa di momenti peggiori in arrivo,False,2025-09-03 16:02:27
burrasca!,Cosa fanno alcune navi vicine?,mozzano gli alberi,mozzano gli alberi,True,2025-09-03 16:08:53
che caos!,Come si chiama la protagonista della storia?,winnie,winnie,True,2025-09-04 16:02:40
che caos!,Dove si trova la casetta descritta?,vicino allo stagno,vicino allo stagno,True,2025-09-04 16:05:36
che caos!,Cosa c'è nel cassetto del tavolo?,un topo,un topo,True,2025-09-04 16:05:42
che caos!,Come sono i piatti nella credenza?,puliti e ordinati,accatastati senza ordine,False,2025-09-04 16:06:10
che caos!,Com’è il camino?,pieno di cenere,pieno di cenere,True,2025-09-04 16:06:51
che caos!,Come si sente Winnie in mezzo al disordine?,spaventata,incuriosita,False,2025-09-04 16:07:02
che caos!,Che tipo di lavoro fa Mae?,cuce stoffe colorate,cuce stoffe colorate,True,2025-09-04 16:07:13
che caos!,Cosa si trova ovunque nella casetta?,polvere e oggetti,polvere e oggetti,True,2025-09-04 16:11:02
che caos!,Come definisce Winnie la casetta?,scomoda e disordinata,comoda e affascinante,False,2025-09-04 16:11:14
che caos!,Che tipo di lavoro fa Tuck?,lavora il legno,lavora il legno,True,2025-09-04 16:14:28
che caos!,Come definisce Winnie la casetta?,comoda e affascinante,comoda e affascinante,True,2025-09-04 16:14:37
da dove vengono i bambini?,Cosa annunciano mamma e papà?,l’arrivo di un bambino,l’arrivo di un bambino,True,2025-09-10 16:10:34
da dove vengono i bambini?,A chi chiede prima spiegazioni il protagonista?,a olive,a olive,True,2025-09-10 16:10:54
da dove vengono i bambini?,Cosa risponde Olive?,che crescono sull’albero dei bambini,che crescono sull’albero dei bambini,True,2025-09-10 16:11:08
da dove vengono i bambini?,Chi dice che i bambini nascono in ospedale?,la maestra,la maestra,True,2025-09-10 16:11:29
da dove vengono i bambini?,Cosa pensa il protagonista dell’ospedale?,che si fanno solo visite,che è solo per i malati,False,2025-09-10 16:11:49
da dove vengono i bambini?,Chi dice che i bambini li porta la cicogna?,il nonno,il nonno,True,2025-09-10 16:16:14
da dove vengono i bambini?,Cosa controlla ogni mattina il bambino?,la buca delle lettere,l’uscio di casa,False,2025-09-10 16:17:15
da dove vengono i bambini?,Chi parla delle uova?,il postino,il postino,True,2025-09-10 16:18:35
da dove vengono i bambini?,Cosa spiegano alla fine i genitori?,che il bambino cresce nella pancia della mamma,che il bambino cresce nella pancia della mamma,True,2025-09-10 16:18:49
da dove vengono i bambini?,Cosa decide di fare il protagonista col nonno?,spiegargli da dove vengono i bambini,spiegargli da dove vengono i bambini,True,2025-09-10 16:20:12
da dove vengono i bambini?,Cosa controlla ogni mattina il bambino?,l’uscio di casa,l’uscio di casa,True,2025-09-10 16:24:18
daccapo,Cos'è Daccapo?,un gioco,un regno,False,2025-09-11 15:56:13
daccapo,Cosa succede al puzzle?,si rimescola da solo,si rimescola da solo,True,2025-09-11 15:56:38
daccapo,Cosa dice il pezzetto di puzzle?,che vuole giocare ancora,che vuole giocare ancora,True,2025-09-11 15:56:48
daccapo,Cosa succede al cinema?,il film viene interrotto,il film riparte da capo,False,2025-09-11 15:56:59
daccapo,Cosa succede al libro dell’autrice?,diventa bianco,diventa bianco,True,2025-09-11 15:57:10
daccapo,Dove vanno le parole?,spariscono per sempre,prendono il volo,False,2025-09-11 15:57:18
daccapo,Cosa fa la penna quando l’autrice cerca di fermarsi?,si rialza,si rialza,True,2025-09-11 15:57:28
